Significant	-Log(P-value)	Difference	Gene names	Protein IDs	Majority protein IDs	Protein names	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Peptides BIR_1	Peptides BIR_2	Peptides BIR_3	Peptides CHX_1	Peptides CHX_2	Peptides CHX_3	Peptides DCP_1	Peptides DCP_2	Peptides DCP_3	Peptides HOC_1	Peptides HOC_2	Peptides HOC_3	Peptides MP_1	Peptides MP_2	Peptides MP_3	Peptides NaAs_1	Peptides NaAs_2	Peptides NaAs_3	Razor + unique peptides BIR_1	Razor + unique peptides BIR_2	Razor + unique peptides BIR_3	Razor + unique peptides CHX_1	Razor + unique peptides CHX_2	Razor + unique peptides CHX_3	Razor + unique peptides DCP_1	Razor + unique peptides DCP_2	Razor + unique peptides DCP_3	Razor + unique peptides HOC_1	Razor + unique peptides HOC_2	Razor + unique peptides HOC_3	Razor + unique peptides MP_1	Razor + unique peptides MP_2	Razor + unique peptides MP_3	Razor + unique peptides NaAs_1	Razor + unique peptides NaAs_2	Razor + unique peptides NaAs_3	MS/MS count BIR_1	MS/MS count BIR_2	MS/MS count BIR_3	MS/MS count CHX_1	MS/MS count CHX_2	MS/MS count CHX_3	MS/MS count DCP_1	MS/MS count DCP_2	MS/MS count DCP_3	MS/MS count HOC_1	MS/MS count HOC_2	MS/MS count HOC_3	MS/MS count MP_1	MS/MS count MP_2	MS/MS count MP_3	MS/MS count NaAs_1	MS/MS count NaAs_2	MS/MS count NaAs_3	BIR_1	BIR_2	BIR_3	CHX_1	CHX_2	CHX_3	DCP_1	DCP_2	DCP_3	HOC_1	HOC_2	HOC_3	MP_1	MP_2	MP_3	NaAs_1	NaAs_2	NaAs_3
	0,893882604771605	-3,29636828104655	CDK1	P06493|TX=9606;A0A024QZP7|TX=9606;P06493-2|TX=9606;A0A087WZZ9|TX=9606;E5RIU6|TX=9606;NP_001163878.1|TX=9606;K7ELV5|TX=9606;ENSP00000466237|TX=9606	P06493|TX=9606;A0A024QZP7|TX=9606;P06493-2|TX=9606;A0A087WZZ9|TX=9606;E5RIU6|TX=9606	Cyclin-dependent kinase 1;Cell division cycle 2;	Color2 [A=255, R=169, G=169, B=169]	1	4					12	11	10	54,5	51,9	48,1	34,095	0	44,649	2621700000	79	5	4	3	2	1	1	3	2	0	5	0	2	8	9	10	9	10	11	5	4	2	2	1	1	2	1	0	5	0	2	8	8	9	8	9	10	5	5	1	2	1	1	2	1	0	6	0	2	8	8	9	8	10	10	26,6093578338623	26,5643157958984	25,6870441436768	25,8499317169189	24,5913219451904	NaN	26,3534660339355	21,6497364044189	20,9684104919434	26,4532947540283	NaN	25,4811763763428	27,0266494750977	27,77077293396	27,9815807342529	28,2143325805664	28,3878402709961	28,3643608093262
	0,179428952191085	-0,348034540812176	SERPINB6	XP_016866430.1|TX=9606;P35237|TX=9606;A0A024QZX5|TX=9606;NP_001258751.1|TX=9606;A0A087X1N8|TX=9606;XP_011512974.1|TX=9606	XP_016866430.1|TX=9606;P35237|TX=9606;A0A024QZX5|TX=9606;NP_001258751.1|TX=9606;A0A087X1N8|TX=9606;XP_011512974.1|TX=9606	Serpin B6;	Color2 [A=255, R=169, G=169, B=169]	1	4					3	3	3	9	9	9	38,124	0	3,4856	72133000	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	22,6859798431396	21,7241630554199	22,3129596710205	NaN	NaN	NaN	22,7968692779541	20,555835723877	22,3262939453125	NaN	NaN	NaN	23,5973014831543	24,0051326751709	24,214822769165	NaN	NaN	NaN
	1,39860912766598	-1,5274232228597	THOC7	Q6I9Y2|TX=9606;A0A024R341|TX=9606;F8WF22|TX=9606	Q6I9Y2|TX=9606;A0A024R341|TX=9606	THO complex subunit 7 homolog;	Color2 [A=255, R=169, G=169, B=169]	1	4					3	3	3	15,2	15,2	15,2	23,743	0,00057753	2,454	51133000	6	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	23,8083305358887	23,1914443969727	22,1787452697754	NaN	NaN	NaN	21,8168869018555	21,1900577545166	21,5893058776855	NaN	NaN	NaN	NaN	NaN	NaN	22,9246082305908	NaN	23,3998908996582
	2,17954323883613	-0,478296915690102	HDLBP	A0A024R4E5|TX=9606;Q00341|TX=9606;XP_016859430.1|TX=9606;ENSP00000399139|TX=9606;Q00341-2|TX=9606;H0Y394|TX=9606;ENSP00000393766|TX=9606;H7C0A4|TX=9606;C9JIZ1|TX=9606;C9J5E5|TX=9606;C9JZI8|TX=9606;C9JHZ8|TX=9606;C9JES8|TX=9606;C9JHS7|TX=9606;H7C2D1|TX=9606;C9JK79|TX=9606;C9JT62|TX=9606;H7BZC3|TX=9606;ENSP00000390290|TX=9606;C9JHN6|TX=9606;C9JEJ8|TX=9606;C9JBS3|TX=9606;ENSP00000409868|TX=9606;C9JQ82|TX=9606;ENSP00000408582|TX=9606;C9JMQ6|TX=9606;C9J739|TX=9606;C9JHS9|TX=9606	A0A024R4E5|TX=9606;Q00341|TX=9606;XP_016859430.1|TX=9606;ENSP00000399139|TX=9606;Q00341-2|TX=9606;H0Y394|TX=9606	High density lipoprotein binding protein;Vigilin;	Color2 [A=255, R=169, G=169, B=169]	1	4					43	43	43	40,6	40,6	40,6	141,44	0	278,02	20209000000	469	28	29	29	11	8	10	16	19	18	20	22	19	21	20	16	31	29	34	28	29	29	11	8	10	16	19	18	20	22	19	21	20	16	31	29	34	37	38	37	11	8	11	16	20	21	26	25	23	21	22	19	41	46	47	30,5338954925537	30,4472675323486	30,4660663604736	28,6259613037109	28,7478160858154	28,899600982666	29,9849510192871	29,8612403869629	30,1661472320557	29,8814105987549	30,1503734588623	29,9406967163086	29,6853370666504	29,3278522491455	29,2498397827148	30,9003067016602	30,8448314666748	31,1083660125732
	0,0733564841531491	0,0837173461914063	ELOF1	K7EN05|TX=9606;P60002|TX=9606;K7EPC8|TX=9606;A0A024R7E8|TX=9606;K7EQ44|TX=9606;K7EMV4|TX=9606	K7EN05|TX=9606;P60002|TX=9606;K7EPC8|TX=9606;A0A024R7E8|TX=9606;K7EQ44|TX=9606;K7EMV4|TX=9606	Transcription elongation factor 1 homolog;	Color2 [A=255, R=169, G=169, B=169]	1	4					1	1	1	23,7	23,7	23,7	8,6531	0	3,3576	68890000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	21,7546634674072	22,4659786224365	21,8630638122559	NaN	NaN	NaN	21,9628238677979	22,7493991851807	21,6226348876953	NaN	NaN	NaN	NaN	NaN	NaN	24,1586170196533	24,266565322876	24,272985458374
	0,0697953356487904	0,0808919270833357	ELOA	A0A024RAC6|TX=9606;Q14241|TX=9606	A0A024RAC6|TX=9606;Q14241|TX=9606	Elongin-A;	Color2 [A=255, R=169, G=169, B=169]	1	4					22	22	22	33,9	33,9	33,9	87,229	0	138,89	12318000000	295	12	15	14	12	9	10	8	13	15	11	13	12	12	14	7	11	9	14	12	15	14	12	9	10	8	13	15	11	13	12	12	14	7	11	9	14	20	25	22	19	10	15	13	18	20	13	20	18	14	18	9	13	11	17	29,3584632873535	29,6805152893066	29,6947135925293	30,0480422973633	29,2334995269775	29,7936019897461	29,0217876434326	29,587028503418	30,3675518035889	29,1071681976318	30,2017478942871	29,8072414398193	29,0759468078613	29,2196273803711	28,2903518676758	29,2238445281982	28,8895130157471	29,0605945587158
	0,31859999626684	0,232528050740559	DMD	XP_006724531.1|TX=9606;XP_016884817.1|TX=9606;P11532-4|TX=9606;P11532-2|TX=9606;NP_004002.2|TX=9606;NP_004001.1|TX=9606;XP_006724536.1|TX=9606;XP_011543769.1|TX=9606;NP_004003.1|TX=9606;A0A075B6G3|TX=9606;P11532-3|TX=9606;A0A087WV90|TX=9606;E9PDN5|TX=9606;NP_004000.1|TX=9606;A0A087WTU7|TX=9606;P11532|TX=9606;NP_000100.2|TX=9606;XP_006724533.1|TX=9606;NP_003997.1|TX=9606;XP_006724532.1|TX=9606;H0Y304|TX=9606;P11532-8|TX=9606;P11532-7|TX=9606;P11532-5|TX=9606;P11532-6|TX=9606;NP_004005.1|TX=9606;E7EQR9|TX=9606;XP_006724537.1|TX=9606;E7ESB2|TX=9606;XP_011543770.1|TX=9606;NP_004004.1|TX=9606;E7EQS5|TX=9606;NP_004013.1|TX=9606;F8VX32|TX=9606;NP_004012.1|TX=9606;XP_016884820.1|TX=9606;XP_006724538.1|TX=9606;NP_004010.1|TX=9606;F5GZY3|TX=9606;NP_004014.1|TX=9606;NP_004011.2|TX=9606;P11532-9|TX=9606;P11532-10|TX=9606;H0Y3E8|TX=9606;XP_011543771.1|TX=9606;XP_016884819.1|TX=9606;XP_016884818.1|TX=9606	XP_006724531.1|TX=9606;XP_016884817.1|TX=9606;P11532-4|TX=9606;P11532-2|TX=9606;NP_004002.2|TX=9606;NP_004001.1|TX=9606;XP_006724536.1|TX=9606;XP_011543769.1|TX=9606;NP_004003.1|TX=9606;A0A075B6G3|TX=9606;P11532-3|TX=9606;A0A087WV90|TX=9606;E9PDN5|TX=9606;NP_004000.1|TX=9606;A0A087WTU7|TX=9606;P11532|TX=9606;NP_000100.2|TX=9606;XP_006724533.1|TX=9606;NP_003997.1|TX=9606;XP_006724532.1|TX=9606;H0Y304|TX=9606;P11532-8|TX=9606;P11532-7|TX=9606;P11532-5|TX=9606;P11532-6|TX=9606;NP_004005.1|TX=9606;E7EQR9|TX=9606;XP_006724537.1|TX=9606;E7ESB2|TX=9606;XP_011543770.1|TX=9606;NP_004004.1|TX=9606;E7EQS5|TX=9606;NP_004013.1|TX=9606;F8VX32|TX=9606;NP_004012.1|TX=9606;XP_016884820.1|TX=9606;XP_006724538.1|TX=9606;NP_004010.1|TX=9606;F5GZY3|TX=9606;NP_004014.1|TX=9606;NP_004011.2|TX=9606;P11532-9|TX=9606;P11532-10|TX=9606;H0Y3E8|TX=9606	Dystrophin;	Color2 [A=255, R=169, G=169, B=169]	1	4					6	6	6	2,5	2,5	2,5	428,59	0	9,5008	142740000	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	2	21,6664066314697	22,2893867492676	21,2846279144287	NaN	NaN	NaN	21,8756790161133	21,9773330688477	22,0849933624268	NaN	NaN	NaN	NaN	NaN	NaN	25,1887683868408	24,9204807281494	25,2092552185059
+	2,43089933623124	-1,58725293477376	BCORL1	A0A075B6Q3|TX=9606;XP_005262513.2|TX=9606;XP_006724842.1|TX=9606;XP_016885211.1|TX=9606;Q5H9F3-3|TX=9606;Q5H9F3-2|TX=9606;Q5H9F3|TX=9606;ENSP00000437775|TX=9606;H7C4B2|TX=9606	A0A075B6Q3|TX=9606;XP_005262513.2|TX=9606;XP_006724842.1|TX=9606;XP_016885211.1|TX=9606;Q5H9F3-3|TX=9606;Q5H9F3-2|TX=9606;Q5H9F3|TX=9606;ENSP00000437775|TX=9606	BCL-6 corepressor-like protein 1;	Color2 [A=255, R=169, G=169, B=169]	1	4					4	4	4	3,9	3,9	3,9	150,6	0,00029214	2,6149	78489000	10	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	23,8097057342529	23,8215293884277	23,8102931976318	NaN	NaN	NaN	22,0698223114014	21,8733921051025	22,7365550994873	NaN	23,4216251373291	NaN	NaN	NaN	NaN	23,3714580535889	NaN	23,5050640106201
	0,0841795391300964	0,0456670125325545	MRPS21	P82921|TX=9606;A0A075B746|TX=9606	P82921|TX=9606;A0A075B746|TX=9606	28S ribosomal protein S21;	Color2 [A=255, R=169, G=169, B=169]	1	4					3	3	3	34,5	34,5	34,5	10,741	0	18,963	994770000	36	2	2	2	2	2	2	2	1	2	2	2	2	1	2	3	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	3	3	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	3	3	3	2	2	25,7697639465332	25,7918605804443	25,7088298797607	26,1725120544434	25,9263286590576	25,9286117553711	25,5874919891357	26,1824169158936	25,6375465393066	25,7483215332031	25,6788749694824	25,7079620361328	25,6124839782715	26,0621089935303	25,4516773223877	25,2873249053955	25,2296772003174	25,0483074188232
	0,709694673766786	-0,993661244710285	USP36	XP_011523370.1|TX=9606;A0A075B784|TX=9606;XP_016880390.1|TX=9606;Q9P275|TX=9606;Q9P275-2|TX=9606;XP_011523367.1|TX=9606;XP_011523372.1|TX=9606;XP_011523373.1|TX=9606;XP_011523371.1|TX=9606;E9PEW0|TX=9606;K7EMM6|TX=9606;K7ELR5|TX=9606;Q8IXW9|TX=9606	XP_011523370.1|TX=9606;A0A075B784|TX=9606;XP_016880390.1|TX=9606;Q9P275|TX=9606;Q9P275-2|TX=9606;XP_011523367.1|TX=9606;XP_011523372.1|TX=9606;XP_011523373.1|TX=9606;XP_011523371.1|TX=9606	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 36;	Color2 [A=255, R=169, G=169, B=169]	1	4					8	8	8	14,6	14,6	14,6	104,78	0	8,0842	326430000	35	2	2	2	1	1	1	0	2	2	4	3	4	3	2	3	1	1	3	2	2	2	1	1	1	0	2	2	4	3	4	3	2	3	1	1	3	2	2	2	1	1	1	0	2	2	4	3	4	2	2	2	1	1	3	24,4492225646973	24,0805835723877	24,2244968414307	23,8786735534668	24,1964054107666	23,8833427429199	22,0048351287842	23,763952255249	24,0045318603516	25,1836280822754	24,6801376342773	24,9273242950439	23,7966957092285	24,0426826477051	24,62282371521	24,024621963501	23,617733001709	23,6590538024902
