,LFQ intensity BIR_1,LFQ intensity BIR_2,LFQ intensity BIR_3,LFQ intensity CHX_1,LFQ intensity CHX_2,LFQ intensity CHX_3,LFQ intensity DCP2_1,LFQ intensity DCP2_2,LFQ intensity DCP2_3,LFQ intensity NOC_1,LFQ intensity NOC_2,LFQ intensity NOC_3,LFQ intensity MB_1,LFQ intensity MB_2,LFQ intensity MB_3,LFQ intensity OS_1,LFQ intensity OS_2,LFQ intensity OS_3,Only identified by site,Reverse,Potential contaminant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Razor + unique peptides BIR_1,Razor + unique peptides BIR_2,Razor + unique peptides BIR_3,Razor + unique peptides CHX_1,Razor + unique peptides CHX_2,Razor + unique peptides CHX_3,Razor + unique peptides DCP2_1,Razor + unique peptides DCP2_2,Razor + unique peptides DCP2_3,Razor + unique peptides NOC_1,Razor + unique peptides NOC_2,Razor + unique peptides NOC_3,Razor + unique peptides MB_1,Razor + unique peptides MB_2,Razor + unique peptides MB_3,Razor + unique peptides OS_1,Razor + unique peptides OS_2,Razor + unique peptides OS_3,Protein IDs,Majority protein IDs,Protein names,Gene names
1,0,0,12289000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,,,2,1,1,25,"16,5","16,5","18,197",1,-2,12680000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P0DN26;A0A075B759;Q9Y536;F5H284,P0DN26;A0A075B759;Q9Y536;F5H284,Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase A-like 4A/B/C;Peptidyl-prolyl cis-trans isomerase A-like 4D,PPIAL4E;PPIAL4A;PPIAL4D
2,37007000,33219000,39110000,0,35739000,34803000,48601000,41726000,29139000,30519000,24126000,26642000,39933000,34931000,26106000,40540000,47330000,44683000,,,,4,4,4,"21,3","21,3","21,3","28,17",0,"24,923",616250000,33,3,4,3,1,2,2,3,4,3,4,2,4,4,4,4,4,4,4,P0DPI2;A0A0B4J2D5,P0DPI2;A0A0B4J2D5,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10577000,0,,,,1,1,1,"14,3","14,3","14,3","17,875",0,"4,0193",44349000,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,A0A1B0GUS4;P68036,A0A1B0GUS4;P68036,Ubiquitin-conjugating enzyme E2 L3,UBE2L3
4,125550000,132490000,136360000,295400000,298230016,283560000,217410000,149070000,122580000,207330000,202120000,259760000,195170000,198780000,181030000,92997000,121550000,118210000,,,,17,17,17,"27,4","27,4","27,4","102,36",0,"54,133",3172100000,141,9,8,7,12,13,13,12,10,6,13,10,13,12,12,16,7,11,10,A0FGR8,A0FGR8,Extended synaptotagmin-2,ESYT2
5,435630016,562769984,454769984,464040000,577910016,626700032,582790016,686910016,574630016,615820032,643680000,620499968,763040000,652240000,430560000,523609984,534540000,472209984,,,,6,6,6,"48,4","48,4","48,4","26,273",0,"130,67",9663300000,76,5,5,4,4,4,5,6,5,3,6,4,5,5,6,6,5,4,5,A0JLT2,A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19
6,22642000,21205000,16491000,0,0,0,0,16408000,20484000,20454000,26254000,0,16395000,0,0,36003000,32101000,45584000,,,,7,7,7,"6,8","6,8","6,8","164,2",0,"35,57",312970000,16,3,3,2,1,0,1,1,2,2,3,3,1,2,1,1,4,4,6,A0JNW5,A0JNW5,UHRF1-binding protein 1-like,UHRF1BP1L
7,203020000,155900000,205600000,28511000,43715000,66049000,97167000,64477000,97856000,81569000,111740000,112950000,68666000,43070000,0,44772000,53647000,69340000,,,,13,13,13,"23,9","23,9","23,9","71,639",0,"44,61",1426100000,45,11,10,11,3,2,5,6,7,7,5,10,6,7,3,1,3,6,5,A0MZ66,A0MZ66,Shootin-1,KIAA1598
8,27148000,31906000,0,25724000,39816000,43541000,37088000,41892000,0,47048000,21951000,25959000,21989000,42796000,75585000,39548000,55636000,35969000,,,,6,6,6,"18,7","18,7","18,7","67,867",0,"42,362",700750000,52,2,3,1,3,3,2,4,2,1,5,2,2,3,6,6,4,5,4,A1L0T0,A1L0T0,Acetolactate synthase-like protein,ILVBL
9,0,0,0,0,0,0,0,0,0,0,0,31581000,0,0,0,0,0,0,,,,2,2,2,"14,3","14,3","14,3","29,057",0,"4,8072",167830000,4,2,2,0,1,1,2,0,1,0,0,0,2,1,1,1,1,1,1,A1L170,A1L170,Uncharacterized protein C1orf226,C1orf226
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22918000,0,26549000,,,,3,3,3,"3,7","3,7","3,7","134,41","0,0049683","1,8428",147180000,3,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,2,0,3,A1L390,A1L390,Pleckstrin homology domain-containing family G member 3,PLEKHG3
11,5203900,4968400,0,5029600,0,0,0,5251700,3572200,21955000,14406000,5032100,16006000,20146000,42316000,244610000,371950016,372390016,,,,29,29,29,"17,9","17,9","17,9","268,57",0,"84,518",1355900000,82,4,3,1,2,2,1,1,3,3,9,5,3,5,5,12,21,22,25,A2RRP1,A2RRP1,Neuroblastoma-amplified sequence,NBAS
12,16903000,0,0,0,25666000,21351000,32285000,0,0,28169000,19434000,25093000,22793000,44210000,50025000,18999000,20579000,19333000,,,,9,9,9,"5,4","5,4","5,4","214,82",0,"7,8796",410100000,18,3,2,1,2,3,2,5,2,2,5,3,5,3,5,8,3,3,5,A3KMH1,A3KMH1,von Willebrand factor A domain-containing protein 8,VWA8
13,71653000,73784000,72597000,0,0,0,38046000,25288000,26292000,36141000,31434000,26748000,32847000,44024000,35321000,26777000,33554000,0,,,,16,16,13,"16,8","16,8","14,6","154,31",0,"74,951",644520000,40,11,11,12,1,1,1,3,3,2,5,2,2,4,8,7,3,6,1,A3KN83,A3KN83,Protein strawberry notch homolog 1,SBNO1
14,0,0,0,14974000,0,0,0,0,0,15863000,0,0,0,26934000,18903000,0,0,0,,,,4,4,4,"12,7","12,7","12,7","42,932",0,"5,0436",158180000,13,1,1,0,2,1,1,1,1,1,2,1,1,1,4,3,1,1,1,A4D1E9,A4D1E9,GTP-binding protein 10,GTPBP10
15,296920000,261720000,272270016,118330000,158070000,202510000,259630000,253020000,293860000,261030000,247900000,236810000,191700000,233050000,273260000,759409984,764089984,903699968,,,,43,43,43,"24,2","24,2","24,2","266,94",0,"206,19",6457900000,247,21,24,19,8,9,13,11,12,14,16,16,14,8,17,23,36,29,34,A5YKK6,A5YKK6,CCR4-NOT transcription complex subunit 1,CNOT1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31011000,,,,1,1,1,"0,7","0,7","0,7","164,81","0,0062927","1,762",495280000,6,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,A6NC98,A6NC98,Coiled-coil domain-containing protein 88B,CCDC88B
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3584300,0,,,,1,1,1,"11,2","11,2","11,2","14,688","0,0011765","2,6072",95384000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Q9GZQ8;A6NCE7,Q9GZQ8;A6NCE7,Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2,MAP1LC3B;MAP1LC3B2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83710000,78760000,91449000,,,,4,4,4,"24,1","24,1","24,1","33,62",0,"12,003",299060000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,A6NDU8,A6NDU8,UPF0600 protein C5orf51,C5orf51
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8207200,0,,,,1,1,1,11,11,11,"12,712","0,0011786","2,6272",48937000,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,P30046;A6NHG4,P30046;A6NHG4,D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein,DDT;DDTL
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163470000,,,,4,1,1,"8,3","3,8","3,8","49,908",0,"36,096",2600700000,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A6NHL2,A6NHL2,Tubulin alpha chain-like 3,TUBAL3
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85191000,,,,3,1,1,"11,1","3,3","3,3","34,803","0,0057661","1,8029",2437300000,23,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,A6NHQ2,A6NHQ2,rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1,FBLL1
22,554540032,536150016,498249984,327510016,466480000,366400000,461150016,463100000,395329984,659779968,397140000,355150016,641590016,801470016,875160000,976190016,995390016,966910016,,,,56,56,56,"39,5","39,5","39,5","226,37",0,"323,31",11877000000,364,36,34,29,17,21,21,27,24,20,38,16,18,34,41,48,48,45,44,A6NHR9,A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7953800,0,,,,1,1,1,"6,8","6,8","6,8","28,136",0,"4,4903",21593000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,A6NIH7,A6NIH7,Protein unc-119 homolog B,UNC119B
24,129120000,118230000,129440000,46582000,60175000,54071000,66622000,60265000,54153000,78671000,77003000,84521000,64783000,37886000,0,144880000,142680000,146420000,,,,14,14,14,"45,6","45,6","45,6","45,209",0,"55,046",1507000000,62,8,10,11,3,8,6,6,6,5,6,9,6,6,3,2,12,10,10,A6NKD9,A6NKD9,Coiled-coil domain-containing protein 85C,CCDC85C
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39205000,,,,2,2,2,"5,9","5,9","5,9","43,553","0,00030349","3,0348",75299000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,A6NKF1,A6NKF1,SAC3 domain-containing protein 1,SAC3D1
26,0,152990000,206100000,0,0,0,185580000,177670000,0,162180000,283540000,162450000,0,195970000,0,176100000,168780000,206910000,,,,48,6,0,32,"4,3",0,"197,48",0,"24,642",2843800000,35,2,2,2,1,1,1,4,2,1,3,4,3,1,2,1,3,5,5,A6NKT7,A6NKT7,RanBP2-like and GRIP domain-containing protein 3,RGPD3
27,0,0,95016000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,"3,5","3,5","3,5","70,116","0,0038986","1,9401",778090000,5,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,A7E2F4;A8MQT2,A7E2F4;A8MQT2,Golgin subfamily A member 8A;Golgin subfamily A member 8B,GOLGA8A;GOLGA8B
28,0,0,0,0,0,0,0,0,0,24542000,0,0,0,0,0,37046000,26741000,35800000,,,,9,9,9,"6,2","6,2","6,2","197,3",0,"4,3873",186520000,15,0,0,0,1,1,1,1,0,1,2,0,1,0,2,1,3,6,5,A7E2V4,A7E2V4,Zinc finger SWIM domain-containing protein 8,ZSWIM8
29,29545000,36764000,40650000,0,0,0,0,0,0,45549000,45263000,35680000,31182000,0,25934000,33782000,30216000,33524000,,,,11,2,2,"16,5",5,5,"125,09",0,"11,285",485550000,17,2,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,1,1,A8CG34;A6NF01;Q6PJE2,A8CG34,Nuclear envelope pore membrane protein POM 121C,POM121C
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7290400,,,,1,1,1,"2,1","2,1","2,1","71,981","0,0093834","1,5797",29449000,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,A8K855,A8K855,EF-hand calcium-binding domain-containing protein 7,EFCAB7
